Keep driving,继续行驶,AdditionalObjective_01,AditionalObjectives_Strings,继续行驶,
Keep going,继续前进,AdditionalObjective_02,AditionalObjectives_Strings,继续前进,
Drive forward,向前行驶,AdditionalObjective_03,AditionalObjectives_Strings,往前骑,
Drive up,向上行驶,AdditionalObjective_04,AditionalObjectives_Strings,往上骑,
Drive down,向下行驶,AdditionalObjective_05,AditionalObjectives_Strings,往下骑,
Drive back,向后行驶,AdditionalObjective_06,AditionalObjectives_Strings,往后骑,
Find your way through the city,找到通过城市的路,AdditionalObjective_07,AditionalObjectives_Strings,在城市中找到您的路线,
Find your way through the area,找到通过区域的路,AdditionalObjective_08,AditionalObjectives_Strings,在区域中找到您的路线,
Find your way through the factory,找到通过工厂的路,AdditionalObjective_09,AditionalObjectives_Strings,在工厂中找到您的路线,
Find your way through the docks,找到通过码头的路,AdditionalObjective_10,AditionalObjectives_Strings,在码头中找到您的路线,
Look around the area,在区域周围看看,AdditionalObjective_11,AditionalObjectives_Strings,环顾区域,
Find enemies,找到敌人,AdditionalObjective_12,AditionalObjectives_Strings,找到敌人,
Search the area,搜索区域,AdditionalObjective_13,AditionalObjectives_Strings,搜索区域,
Search for enemies in the area,搜索区域中的敌人,AdditionalObjective_14,AditionalObjectives_Strings,搜索区域中的敌人,
Look for the exit,找到出口,AdditionalObjective_15,AditionalObjectives_Strings,寻找出口,
Follow the arrow,跟着箭头走,AdditionalObjective_16,AditionalObjectives_Strings,照箭头走,
Follow the power cord,跟着电线走,AdditionalObjective_17,AditionalObjectives_Strings,照电线走,
Search the surroundings,搜索周围,AdditionalObjective_18,AditionalObjectives_Strings,勘查环境,
Search and destroy,搜索并摧毁,AdditionalObjective_19,AditionalObjectives_Strings,勘查环境并破坏,
Go to the roof,前往楼顶,AdditionalObjective_20,AditionalObjectives_Strings,前往屋顶,
Go down to the underground,前往地下,AdditionalObjective_21,AditionalObjectives_Strings,直通地下,
Find a power source,找到电源,AdditionalObjective_22,AditionalObjectives_Strings,找到电源,
Find the generator,找到发电机,AdditionalObjective_23,AditionalObjectives_Strings,找到发电机,
The {Enemy} will escape in: {Time},{Enemy}会在 {Time}后逃跑,AdditionalObjective_24,AditionalObjectives_Strings,{Enemy}即将逃走：还剩下{Time},
Don't let Toshi escape: {Time},别让小敏逃掉：{Time},AdditionalObjective_25,AditionalObjectives_Strings,别让小敏逃走：还剩下{Time},
Bulletproof,防弹,buff_bulletproof,BuffStrings,防弹,
Damage Boost,伤害提升,buff_damage,BuffStrings,伤害提升,
Invulnerability,无敌,buff_invulnerability,BuffStrings,刀枪不入,
Multiplier Boost,倍率提升,buff_multi,BuffStrings,倍数提升,
Slo-mo,慢动作,buff_slomo,BuffStrings,慢动作,
